IdHogar;IdPersona;IdViaje;Edad;NivelEducativo;Sexo;Barrio;Estrato;CantidadHogares;TotalPersonas;RangoIngresos;TotalVehiculos;Municipio;Aplicacion;ModoPrincipal;Localidad;TipoVehiculo;DesplazamientoOrigen;Coordenadas_origen;DesplazamientoDestino;Cluster
14687;14687-6;14687-6-1;11;PRI-IN;Sin Dato;PERCEVERANCIA;2;1;7;$ 1.500.001 - $ 2.000.000;0;BOGOTA, D.C;Uber ;A pie;SANTA FE;No tiene vehículo;SANTA FE;;SANTA FE;cluster_0
14687;14687-6;14687-6-2;11;PRI-IN;Sin Dato;PERCEVERANCIA;2;1;7;$ 1.500.001 - $ 2.000.000;0;BOGOTA, D.C;Uber ;A pie;SANTA FE;No tiene vehículo;SANTA FE;;SANTA FE;cluster_0
14797;14797-6;14797-6-1;7;PRI-IN;Sin Dato;BRILLANTE;1;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;A pie;USME;No tiene vehículo;USME;;USME;cluster_0
14797;14797-6;14797-6-2;7;PRI-IN;Sin Dato;BRILLANTE;1;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;Uber ;A pie;USME;No tiene vehículo;USME;;USME;cluster_0
1483;1483-6;1483-6-2;14;SEC-IN;Sin Dato;PALMITAS;1;1;6;$ 1.500.001 - $ 2.000.000;0;BOGOTA, D.C;Uber ;A pie;KENNEDY;No tiene vehículo;KENNEDY;;KENNEDY;cluster_0
1483;1483-6;1483-6-1;14;SEC-IN;Sin Dato;PALMITAS;1;1;6;$ 1.500.001 - $ 2.000.000;0;BOGOTA, D.C;Uber ;A pie;KENNEDY;No tiene vehículo;KENNEDY;;KENNEDY;cluster_0
14880;14880-6;14880-6-1;43;MED-COM;Mujer;PORTAL LL;1;1;6;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;TransMilenio;USME;No tiene vehículo;USME;;CHAPINERO;cluster_0
14880;14880-6;14880-6-2;43;MED-COM;Mujer;PORTAL LL;1;1;6;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;TransMilenio;CHAPINERO;No tiene vehículo;CHAPINERO;4°38?45?N 74°03?48?O;USME;cluster_0
14886;14886-6;14886-6-2;20;MED-COM;Sin Dato;BR BRILLANTE;1;1;7;$ 0 - $ 828.116;0;BOGOTA, D.C;;A pie;\N;No tiene vehículo;\N;;\N;cluster_0
14886;14886-6;14886-6-1;20;MED-COM;Sin Dato;BR BRILLANTE;1;1;7;$ 0 - $ 828.116;0;BOGOTA, D.C;;A pie;\N;No tiene vehículo;\N;;\N;cluster_0
14914;14914-6;14914-6-1;15;SEC-IN;Sin Dato;LAGUNA NEUTA;3;1;6;$ 2.500.001 - $ 3.500.000;1;SOACHA;Uber ;A pie;UPR;Moto;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
14914;14914-6;14914-6-2;15;SEC-IN;Sin Dato;LAGUNA NEUTA;3;1;6;$ 2.500.001 - $ 3.500.000;1;SOACHA;Uber ;A pie;UPR;Moto;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
15138;15138-6;15138-6-2;42;Ninguno;Sin Dato;BOSQUE  DE MEDINA;6;1;7;$ 6.800.001 - $ 9.000.000;2;BOGOTA, D.C;;A pie;\N;No tiene vehículo;\N;;\N;cluster_0
15138;15138-6;15138-6-1;42;Ninguno;Sin Dato;BOSQUE  DE MEDINA;6;1;7;$ 6.800.001 - $ 9.000.000;2;BOGOTA, D.C;;Transporte informal;\N;No tiene vehículo;\N;;\N;cluster_0
15138;15138-6;15138-6-3;42;Ninguno;Sin Dato;BOSQUE  DE MEDINA;6;1;7;$ 6.800.001 - $ 9.000.000;2;BOGOTA, D.C;;Transporte informal;\N;No tiene vehículo;\N;;\N;cluster_0
15165;15165-6;15165-6-1;9;PRI-IN;Sin Dato;TINTAL;2;1;7;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;A pie;KENNEDY;No tiene vehículo;KENNEDY;;KENNEDY;cluster_0
15165;15165-6;15165-6-2;9;PRI-IN;Sin Dato;TINTAL;2;1;7;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;A pie;KENNEDY;No tiene vehículo;KENNEDY;;KENNEDY;cluster_0
15207;15207-6;15207-6-1;14;SEC-IN;Sin Dato;CARTAGENITA;1;1;6;$828.117 - $ 1.500.000;0;FACATATIVA;Uber ;A pie;UPR;No tiene vehículo;FACATATIVA;;FACATATIVA;cluster_0
15207;15207-6;15207-6-2;14;SEC-IN;Sin Dato;CARTAGENITA;1;1;6;$828.117 - $ 1.500.000;0;FACATATIVA;Uber ;A pie;UPR;No tiene vehículo;FACATATIVA;;FACATATIVA;cluster_0
15278;15278-6;15278-6-2;13;SEC-IN;Sin Dato;JULIO RINCON;2;1;8;$ 0 - $ 828.116;0;SOACHA;Uber ;A pie;UPR;No tiene vehículo;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
15278;15278-6;15278-6-1;13;SEC-IN;Sin Dato;JULIO RINCON;2;1;8;$ 0 - $ 828.116;0;SOACHA;Uber ;A pie;UPR;No tiene vehículo;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
15310;15310-6;15310-6-1;16;SEC-IN;Hombre;JULIO RINCON;0;2;6;$ 1.500.001 - $ 2.000.000;0;SOACHA;Uber ;A pie;UPR;No tiene vehículo;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
15310;15310-6;15310-6-2;16;SEC-IN;Hombre;JULIO RINCON;0;2;6;$ 1.500.001 - $ 2.000.000;0;SOACHA;Uber ;A pie;UPR;No tiene vehículo;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
15436;15436-6;15436-6-2;11;SEC-IN;Sin Dato;LA REFORMA;1;1;6;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;A pie;USME;No tiene vehículo;USME;;USME;cluster_0
15436;15436-6;15436-6-1;11;SEC-IN;Sin Dato;LA REFORMA;1;1;6;$ 0 - $ 828.116;0;BOGOTA, D.C;Uber ;Alimentador;USME;No tiene vehículo;USME;;USME;cluster_0
15567;15567-6;15567-6-2;13;SEC-IN;Sin Dato;LAS BRISAS;2;1;7;No sabe - No responde;0;BOGOTA, D.C;Uber ;A pie;ANTONIO NARINO;No tiene vehículo;ANTONIO NARINO;4°35?30?N 74°06?23?O;SAN CRISTOBAL;cluster_0
15567;15567-6;15567-6-1;13;SEC-IN;Sin Dato;LAS BRISAS;2;1;7;No sabe - No responde;0;BOGOTA, D.C;Uber ;A pie;SAN CRISTOBAL;No tiene vehículo;SAN CRISTOBAL;4°33?53?N 74°05?00?O;ANTONIO NARINO;cluster_0
15663;15663-6;15663-6-1;12;SEC-IN;Sin Dato;CIUDAD TINTAL;2;1;6;$4.900.001 - $ 6.800.000;1;BOGOTA, D.C;Uber ;Alimentador;KENNEDY;Moto;KENNEDY;;KENNEDY;cluster_0
